,movie,year,imdb,metascore,votes,descriptions,n_imdb
122,What Women Want,(2000),6.4,47,182081,"
    After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",64.0
123,Miss Congeniality,(2000),6.2,43,172256,"
    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.",62.0
124,Chocolat,(2000),7.2,64,169560,"
    A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.",72.0
125,Chicken Run,(2000),7.0,88,165838,"
    When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",70.0
126,Charlie's Angels,(2000),5.5,52,165040,"
    Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",55.0
127,The Emperor's New Groove,(2000),7.3,70,164193,"
    Emperor Kuzco (David Spade) is turned into a llama by his ex-administrator Yzma (Eartha Kitt), and must now regain his throne with the help of Pacha (John Goodman), the gentle llama herder.",73.0
128,Erin Brockovich,(2000),7.3,73,160911,"
    An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.",73.0
129,Battle Royale,(2000),7.6,81,160550,"
    In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",76.0
130,High Fidelity,(2000),7.5,79,159579,"
    Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",75.0
131,Road Trip,(2000),6.4,55,149680,"
    Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.",64.0
132,The Perfect Storm,(2000),6.4,59,148294,"
    An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.",64.0
133,"Dude, Where's My Car?",(2000),5.5,30,129438,"
    Two potheads wake up after a night of partying and cannot remember where they parked their car.",55.0
134,Billy Elliot,(2000),7.7,74,116938,"
    A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.",77.0
135,Hollow Man,(2000),5.8,24,115878,"
    When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",58.0
136,Scream 3,(2000),5.5,56,115588,"
    While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",55.0
137,Shanghai Noon,(2000),6.5,77,112986,"
    A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",65.0
138,The 6th Day,(2000),5.9,49,111471,"
    Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.",59.0
139,What Lies Beneath,(2000),6.6,51,111296,"
    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.",66.0
140,Pay It Forward,(2000),7.2,40,107922,"
    A young boy attempts to make the world a better place after his teacher gives him that chance.",72.0
141,In the Mood for Love,(2000),8.1,85,107909,"
    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",81.0
142,The Whole Nine Yards,(2000),6.7,47,103895,"
    A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",67.0
143,Coyote Ugly,(2000),5.7,27,101760,"
    Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",57.0
144,Men of Honor,(2000),7.2,56,101743,"
    The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",72.0
145,The Family Man,(2000),6.8,42,97672,"
    A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",68.0
146,Frequency,(2000),7.3,67,95481,"
    An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",73.0
147,Gladiator,(2000),8.5,67,1230705,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",85.0
148,Memento,(2000),8.4,80,1043073,"
    A man with short-term memory loss attempts to track down his wife's murderer.",84.0
149,Snatch,(2000),8.3,55,727766,"
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",83.0
150,Requiem for a Dream,(2000),8.3,68,709414,"
    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",83.0
151,X-Men,(2000),7.4,64,542597,"
    In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",74.0
152,Cast Away,(2000),7.8,73,479211,"
    A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.",78.0
153,American Psycho,(2000),7.6,64,438231,"
    A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",76.0
154,Unbreakable,(2000),7.3,62,359058,"
    A man learns something extraordinary about himself after a devastating accident.",73.0
155,Meet the Parents,(2000),7.0,73,295281,"
    Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",70.0
156,Mission: Impossible II,(2000),6.1,59,294398,"
    I.M.F. Agent Ethan Hunt (Tom Cruise) is sent to Sydney, Australia to find and destroy a genetically modified disease called ""Chimera"".",61.0
157,"O Brother, Where Art Thou?",(2000),7.7,69,267298,"
    In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",77.0
158,Gone in 60 Seconds,(2000),6.5,35,248069,"
    A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.",65.0
159,"Crouching Tiger, Hidden Dragon",(2000),7.8,93,241842,"
    A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.",78.0
160,The Patriot,(2000),7.2,63,239909,"
    Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.",72.0
161,Almost Famous,(2000),7.9,90,237056,"
    A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.",79.0
162,Scary Movie,(2000),6.2,48,217137,"
    A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",62.0
163,Pitch Black,(2000),7.1,49,215598,"
    A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",71.0
164,Final Destination,(2000),6.7,36,213850,"
    After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",67.0
165,"Me, Myself & Irene",(2000),6.6,49,211523,"
    A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.",66.0
166,The Beach,(I) (2000),6.7,43,210596,"
    Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",67.0
167,Amores Perros,(2000),8.1,83,208975,"
    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",81.0
168,Traffic,(2000),7.6,86,187392,"
    A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",76.0
169,Remember the Titans,(2000),7.8,48,186011,"
    The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.",78.0
170,How the Grinch Stole Christmas,(2000),6.1,46,185157,"
    On the outskirts of Whoville, there lives a green, revenge-seeking Grinch (Jim Carrey), who plans on ruining Christmas for all of the citizens of the town.",61.0
171,What Women Want,(2000),6.4,47,182081,"
    After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",64.0
172,Miss Congeniality,(2000),6.2,43,172256,"
    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.",62.0
173,Chocolat,(2000),7.2,64,169560,"
    A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.",72.0
174,Chicken Run,(2000),7.0,88,165838,"
    When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",70.0
175,Charlie's Angels,(2000),5.5,52,165040,"
    Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",55.0
